AIRPORT_ID,YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,field1,FL_DATE,DurationofEvent,DurationinMinutes
3326,2018,1,22,1/22/2018,MQ,20398,MQ,N519AE,3427,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,714,739,25,25,1,1,0700-0759,31,810,0,,0,113,124,84,1,622,3,25,0,11,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3348,2018,1,22,1/22/2018,MQ,20398,MQ,N688AE,3446,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1840,2254,254,254,1,12,1800-1859,18,2312,0,,0,79,73,52,1,323,2,141,0,0,0,107,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3380,2018,1,22,1/22/2018,MQ,20398,MQ,N909AE,3469,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1720,1843,83,83,1,5,1700-1759,36,1919,0,,0,72,97,50,1,264,2,0,0,25,0,83,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3403,2018,1,22,1/22/2018,MQ,20398,MQ,N942LL,3478,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,845,858,13,13,0,0,0800-0859,24,922,0,,0,53,62,31,1,135,1,13,0,9,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3466,2018,1,22,1/22/2018,MQ,20398,MQ,N661JA,3720,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1835,1923,48,48,1,3,1800-1859,29,1952,0,,0,58,60,25,1,137,1,36,0,2,0,12,1846,23,23,0,1/22/2018,0 days 00:32:00.000000000,32
3489,2018,1,22,1/22/2018,MQ,20398,MQ,N663AR,3734,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1840,2018,98,98,1,6,1800-1859,8,2026,0,,0,74,67,52,1,264,2,91,0,0,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3553,2018,1,22,1/22/2018,NK,20416,NK,N534NK,630,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1800,1814,14,14,0,0,1800-1859,29,1843,0,,0,134,159,126,1,733,3,0,0,39,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3566,2018,1,22,1/22/2018,NK,20416,NK,N673NK,737,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,605,643,38,38,1,2,0600-0659,21,704,0,,0,273,255,224,1,1744,7,0,0,20,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3571,2018,1,22,1/22/2018,NK,20416,NK,N640NK,745,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1625,1847,142,142,1,9,1600-1659,19,1906,0,,0,162,164,140,1,1012,5,0,0,2,0,142,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3577,2018,1,22,1/22/2018,NK,20416,NK,N526NK,815,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,810,821,11,11,0,0,0800-0859,22,843,0,,0,142,160,134,1,837,4,0,0,29,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
